# AWS Regions; extended with 2-letter country codes
#
# Used as a quick reference for 2-letter country codes that have internet infrastructure large enough
# to warrant an AWS region; sourced 2023-12-06 from https://www.aws-services.info/regions.html
#

af-south-1          Africa (Cape Town)              ZA
ap-east-1           Asia Pacific (Hong Kong)        HK
ap-northeast-1      Asia Pacific (Tokyo)            JP
ap-northeast-2      Asia Pacific (Seoul)            KR
ap-northeast-3      Asia Pacific (Osaka)            JP
ap-south-1          Asia Pacific (Mumbai)           IN
ap-south-2          Asia Pacific (Hyderabad)        IN
ap-southeast-1      Asia Pacific (Singapore)        SG
ap-southeast-2      Asia Pacific (Sydney)           AU
ap-southeast-3      Asia Pacific (Jakarta)          ID
ap-southeast-4      Asia Pacific (Melbourne)        AU
ca-central-1        Canada (Central)                CA
cn-north-1          China (Beijing)                 CN
cn-northwest-1      China (Ningxia)                 CN
eu-central-1        Europe (Frankfurt)              DE
eu-central-2        Europe (Zurich)                 CH
eu-north-1          Europe (Stockholm)              SE
eu-south-1          Europe (Milan)                  IT
eu-south-2          Europe (Spain)                  ES
eu-west-1           Europe (Ireland)                IE
eu-west-2           Europe (London)                 UK
eu-west-3           Europe (Paris)                  FR
il-central-1        Israel (Tel Aviv)               IL
me-central-1        Middle East (UAE)               AE
me-south-1          Middle East (Bahrain)           BH
sa-east-1           South America (Sao Paulo)       BR
us-east-1           US East (N. Virginia)           US
us-east-2           US East (Ohio)                  US
us-west-1           US West (N. California)         US
us-west-2           US West (Oregon)                US

#
# cat aws-regions.txt | cut -d ')' -f2 | grep -v '#' | xargs | tr ' ' '\n' | sort -u | tr '\n' ' '
# AE AU BH BR CA CH CN DE ES FR HK ID IE IL IN IT JP KR SE SG UK US ZA
#
